"","State","State Code","Year","Year Code","Deaths","Population","Crude Rate"
"1","Alabama","01",1979,1979,418,3873403,10.792
"2","Alabama","01",1980,1980,435,3898117,11.159
"3","Alabama","01",1981,1981,393,3920097,10.025
"4","Alabama","01",1982,1982,428,3925924,10.902
"5","Alabama","01",1983,1983,425,3933838,10.804
"6","Alabama","01",1984,1984,466,3952400,11.79
"7","Alabama","01",1985,1985,430,3974101,10.82
"8","Alabama","01",1986,1986,504,3993162,12.622
"9","Alabama","01",1987,1987,449,4017181,11.177
"10","Alabama","01",1988,1988,498,4027045,12.366
"11","Alabama","01",1989,1989,506,4034980,12.54
"12","Alabama","01",1990,1990,514,4043643,12.711
"13","Alabama","01",1991,1991,539,4101607,13.141
"14","Alabama","01",1992,1992,523,4155699,12.585
"15","Alabama","01",1993,1993,551,4216208,13.069
"16","Alabama","01",1994,1994,532,4262457,12.481
"17","Alabama","01",1995,1995,563,4298981,13.096
"18","Alabama","01",1996,1996,513,4334219,11.836
"19","Alabama","01",1997,1997,512,4370490,11.715
"20","Alabama","01",1998,1998,569,4408398,12.907
"21","Alabama","01",1999,1999,554,4430141,12.505
"22","Alabama","01",2000,2000,582,4447100,13.087
"23","Alabama","01",2001,2001,512,4467634,11.46
"24","Alabama","01",2002,2002,513,4480089,11.451
"25","Alabama","01",2003,2003,520,4503491,11.547
"26","Alabama","01",2004,2004,541,4530729,11.941
"27","Alabama","01",2005,2005,535,4569805,11.707
"28","Alabama","01",2006,2006,579,4628981,12.508
"29","Alabama","01",2007,2007,592,4672840,12.669
"30","Alabama","01",2008,2008,602,4718206,12.759
"31","Alabama","01",2009,2009,673,4757938,14.145
"32","Alabama","01",2010,2010,679,4779736,14.206
"33","Alabama","01",2011,2011,654,4799918,13.625
"34","Alabama","01",2012,2012,724,4815960,15.033
"35","Alabama","01",2013,2013,720,4829479,14.908
"36","Alabama","01",2014,2014,714,4843214,14.742
"37","Alabama","01",2015,2015,750,4853875,15.452
"38","Alabama","01",2016,2016,788,4863300,16.203
"39","Alaska","02",1979,1979,47,404735,11.613
"40","Alaska","02",1980,1980,68,403594,16.849
"41","Alaska","02",1981,1981,61,420161,14.518
"42","Alaska","02",1982,1982,54,451672,11.956
"43","Alaska","02",1983,1983,56,490111,11.426
"44","Alaska","02",1984,1984,60,515014,11.65
"45","Alaska","02",1985,1985,73,533411,13.686
"46","Alaska","02",1986,1986,79,544113,14.519
"47","Alaska","02",1987,1987,94,538774,17.447
"48","Alaska","02",1988,1988,55,541504,10.157
"49","Alaska","02",1989,1989,89,547442,16.257
"50","Alaska","02",1990,1990,70,549982,12.728
"51","Alaska","02",1991,1991,73,570440,12.797
"52","Alaska","02",1992,1992,90,589389,15.27
"53","Alaska","02",1993,1993,97,599884,16.17
"54","Alaska","02",1994,1994,121,603918,20.036
"55","Alaska","02",1995,1995,103,605068,17.023
"56","Alaska","02",1996,1996,120,609231,19.697
"57","Alaska","02",1997,1997,128,613530,20.863
"58","Alaska","02",1998,1998,129,620503,20.79
"59","Alaska","02",1999,1999,96,624779,15.365
"60","Alaska","02",2000,2000,137,626932,21.852
"61","Alaska","02",2001,2001,101,633714,15.938
"62","Alaska","02",2002,2002,132,642337,20.55
"63","Alaska","02",2003,2003,124,648414,19.124
"64","Alaska","02",2004,2004,155,659286,23.51
"65","Alaska","02",2005,2005,131,666946,19.642
"66","Alaska","02",2006,2006,135,675302,19.991
"67","Alaska","02",2007,2007,149,680300,21.902
"68","Alaska","02",2008,2008,169,687455,24.583
"69","Alaska","02",2009,2009,143,698895,20.461
"70","Alaska","02",2010,2010,164,710231,23.091
"71","Alaska","02",2011,2011,143,722713,19.787
"72","Alaska","02",2012,2012,168,731089,22.979
"73","Alaska","02",2013,2013,170,736879,23.07
"74","Alaska","02",2014,2014,167,736705,22.669
"75","Alaska","02",2015,2015,201,737709,27.247
"76","Alaska","02",2016,2016,193,741894,26.014
"77","Arizona","04",1979,1979,457,2643879,17.285
"78","Arizona","04",1980,1980,460,2725485,16.878
"79","Arizona","04",1981,1981,459,2816864,16.295
