"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1979"	"1979"	418	3873403	10.792
	"Alabama"	"01"	"1980"	"1980"	435	3898117	11.159
	"Alabama"	"01"	"1981"	"1981"	393	3920097	10.025
	"Alabama"	"01"	"1982"	"1982"	428	3925924	10.902
	"Alabama"	"01"	"1983"	"1983"	425	3933838	10.804
	"Alabama"	"01"	"1984"	"1984"	466	3952400	11.790
	"Alabama"	"01"	"1985"	"1985"	430	3974101	10.820
	"Alabama"	"01"	"1986"	"1986"	504	3993162	12.622
	"Alabama"	"01"	"1987"	"1987"	449	4017181	11.177
	"Alabama"	"01"	"1988"	"1988"	498	4027045	12.366
	"Alabama"	"01"	"1989"	"1989"	506	4034980	12.540
	"Alabama"	"01"	"1990"	"1990"	514	4043643	12.711
	"Alabama"	"01"	"1991"	"1991"	539	4101607	13.141
	"Alabama"	"01"	"1992"	"1992"	523	4155699	12.585
	"Alabama"	"01"	"1993"	"1993"	551	4216208	13.069
	"Alabama"	"01"	"1994"	"1994"	532	4262457	12.481
	"Alabama"	"01"	"1995"	"1995"	563	4298981	13.096
	"Alabama"	"01"	"1996"	"1996"	513	4334219	11.836
	"Alabama"	"01"	"1997"	"1997"	512	4370490	11.715
	"Alabama"	"01"	"1998"	"1998"	569	4408398	12.907
	"Alaska"	"02"	"1979"	"1979"	47	404735	11.613
	"Alaska"	"02"	"1980"	"1980"	68	403594	16.849
	"Alaska"	"02"	"1981"	"1981"	61	420161	14.518
	"Alaska"	"02"	"1982"	"1982"	54	451672	11.956
	"Alaska"	"02"	"1983"	"1983"	56	490111	11.426
	"Alaska"	"02"	"1984"	"1984"	60	515014	11.650
	"Alaska"	"02"	"1985"	"1985"	73	533411	13.686
	"Alaska"	"02"	"1986"	"1986"	79	544113	14.519
	"Alaska"	"02"	"1987"	"1987"	94	538774	17.447
	"Alaska"	"02"	"1988"	"1988"	55	541504	10.157
