"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	554	4430141	12.505
	"Alabama"	"01"	"2000"	"2000"	582	4447100	13.087
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.460
	"Alabama"	"01"	"2002"	"2002"	513	4480089	11.451
	"Alabama"	"01"	"2003"	"2003"	520	4503491	11.547
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.941
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.707
	"Alabama"	"01"	"2006"	"2006"	579	4628981	12.508
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.669
	"Alabama"	"01"	"2008"	"2008"	602	4718206	12.759
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.145
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.206
	"Alabama"	"01"	"2011"	"2011"	654	4799918	13.625
	"Alabama"	"01"	"2012"	"2012"	724	4815960	15.033
	"Alabama"	"01"	"2013"	"2013"	720	4829479	14.908
	"Alabama"	"01"	"2014"	"2014"	714	4843214	14.742
	"Alabama"	"01"	"2015"	"2015"	750	4853875	15.452
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.203
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.365
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.852
	"Alaska"	"02"	"2001"	"2001"	101	633714	15.938
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.550
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.124
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.510
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.642
	"Alaska"	"02"	"2006"	"2006"	135	675302	19.991
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.902
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.583
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.461
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.091
	"Alaska"	"02"	"2011"	"2011"	143	722713	19.787
	"Alaska"	"02"	"2012"	"2012"	168	731089	22.979
	"Alaska"	"02"	"2013"	"2013"	170	736879	23.070
	"Alaska"	"02"	"2014"	"2014"	167	736705	22.669
	"Alaska"	"02"	"2015"	"2015"	201	737709	27.247
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.014
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.247
	"Arizona"	"04"	"2000"	"2000"	783	5130632	15.261
	"Arizona"	"04"	"2001"	"2001"	762	5273477	14.450
	"Arizona"	"04"	"2002"	"2002"	884	5396255	16.382
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.244
	"Arizona"	"04"	"2004"	"2004"	879	5652404	15.551
	"Arizona"	"04"	"2005"	"2005"	944	5839077	16.167
	"Arizona"	"04"	"2006"	"2006"	976	6029141	16.188
	"Arizona"	"04"	"2007"	"2007"	1015	6167681	16.457
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.477
	"Arizona"	"04"	"2009"	"2009"	1058	6343154	16.679
	"Arizona"	"04"	"2010"	"2010"	1092	6392017	17.084
	"Arizona"	"04"	"2011"	"2011"	1160	6467163	17.937
	"Arizona"	"04"	"2012"	"2012"	1151	6549634	17.574
	"Arizona"	"04"	"2013"	"2013"	1162	6624617	17.541
	"Arizona"	"04"	"2014"	"2014"	1241	6719993	18.467
	"Arizona"	"04"	"2015"	"2015"	1276	6817565	18.716
	"Arizona"	"04"	"2016"	"2016"	1269	6931071	18.309
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.670
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.055
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.192
	"Arkansas"	"05"	"2002"	"2002"	376	2705927	13.895
	"Arkansas"	"05"	"2003"	"2003"	372	2724816	13.652
	"Arkansas"	"05"	"2004"	"2004"	361	2749686	13.129
