"";"labor.force.participation.rate";"employment.population.ratio";"labor.force";"employment";"unemployment";"unemployment.rate"
"Alabama-1990";62,1583333333333;57,9333333333333;1910487,25;1780029,66666667;130457,583333333;6,825
"Alabama-1991";61,7666666666667;57,25;1924366,25;1783544,25;140822;7,325
"Alabama-1992";62,2666666666667;57,5833333333333;1962245,83333333;1814428,25;147817,583333333;7,525
"Alabama-1993";62,5;57,9916666666667;1996874;1852598,66666667;144275,333333333;7,24166666666667
"Alabama-1994";62,9583333333333;59,0916666666667;2032946,16666667;1907460,66666667;125485,5;6,175
"Alabama-1995";63,4916666666667;59,775;2065909,58333333;1945243,58333333;120666;5,83333333333333
"Alabama-1996";63,6833333333333;60,3583333333333;2091619,33333333;1982776,66666667;108842,666666667;5,20833333333333
"Alabama-1997";64,4166666666667;61,2416666666667;2132519,5;2027425,66666667;105093,833333333;4,93333333333333
"Alabama-1998";64,1166666666667;61,2666666666667;2142689,25;2047036,33333333;95652,9166666667;4,45833333333333
"Alabama-1999";63,9583333333333;60,9416666666667;2150126,5;2048691,75;101434,75;4,725
"Alabama-2000";63,5583333333333;60,6416666666667;2147399,91666667;2047897,16666667;99502,75;4,625
"Alabama-2001";62,7;59,45;2126942,5;2016673,75;110268,75;5,18333333333333
"Alabama-2002";62,0666666666667;58,4;2113208,66666667;1988237,08333333;124971,583333333;5,925
"Alabama-2003";62,2;58,4833333333333;2128286,5;2001012,75;127273,75;5,98333333333333
"Alabama-2004";62,0833333333333;58,6083333333333;2138181;2018713,91666667;119467,083333333;5,575
"Alabama-2005";61,5416666666667;58,8166666666667;2140116,25;2044937,25;95179;4,45833333333333
"Alabama-2006";61,6083333333333;59,1333333333333;2169932,66666667;2083033,16666667;86899,5;4
"Alabama-2007";61,2833333333333;58,8166666666667;2180868,5;2092450,41666667;88418,0833333333;4,04166666666667
"Alabama-2008";60,6166666666667;57,05;2177200,75;2049357,16666667;127843,583333333;5,88333333333333
"Alabama-2009";59,5666666666667;53,5666666666667;2157016,16666667;1939466,83333333;217549,333333333;10,0833333333333
"Alabama-2010";59,5083333333333;53,3416666666667;2196694,41666667;1968756,75;227937,666666667;10,375
"Alabama-2011";59,1166666666667;53,4583333333333;2201954,5;1991026,58333333;210927,916666667;9,58333333333333
"Alabama-2012";58,1666666666667;53,425;2179074,91666667;2001117,58333333;177957,333333333;8,15833333333333
"Alabama-2013";57,725;53,4666666666667;2172942,41666667;2013764,5;159177,916666667;7,325
"Alabama-2014";57,225;53,3666666666667;2164595,5;2018737,33333333;145858,166666667;6,73333333333333
"Alabama-2015";56,65;53,175;2152497,91666667;2020763,41666667;131734,5;6,125
"Alabama-2016";56,4916666666667;53,1666666666667;2155751,41666667;2028929;126822,416666667;5,90833333333333
"Alaska-1990";72,6583333333333;67,3666666666667;270198,5;250559,083333333;19639,4166666667;7,25833333333333
"Alaska-1991";72,4333333333333;66,4;276405,166666667;253330,416666667;23074,75;8,34166666666667
"Alaska-1992";72,55;66,1416666666667;286332,916666667;260994,25;25338,6666666667;8,85833333333333
"Alaska-1993";72,9333333333333;67,25;294227,083333333;271265,25;22961,8333333333;7,8
"Alaska-1994";73,5166666666667;67,9083333333333;300745,25;277837,5;22907,75;7,61666666666667
"Alaska-1995";72,8416666666667;67,4916666666667;302733,166666667;280522,25;22210,9166666667;7,325
