"...1";"State";"Year.x";"labor force participation rate";"employment-population ratio";"labor force";"employment";"unemployment";"unemployment rate";"n";"Id";"population";"Deaths";"crude_rate";"TOTAL FILINGS";"Post";"TreatPost";"Treat";"NonTreat";"Year.y";"AREA";"DATA TYPE";"TOTAL";"500+";"PercW";"FIPS";"IncidenceRate";"BankrupcyP100k";"TimingCntrl";"Delta";"Abr";"Pairty Law Passed";"Mandated offering laws";"Minimum Mandated Benefit";"Mandated if Offered";"No Law";"AccesstoParity";"NonPairtyLaw";"Pre_Post_Parity";"lcruderate";"Expr";"Expr_No-TreatPost-Period";"Expr_No-TreatPre-Period";"Expr_Treated-Post-Period";"Expr_Treated-Pre-Period";"D_ParityLawPassed";"D_Mandatedofferinglaws";"D_MinimumMandatedBenefit";"D_MandatedifOffered";"D_NoLaw";"D_AccessToParity";"D_NonParityLaw";"lDelta"
"1";1;"Alabama";1990;62.1583333333333;57.9333333333333;1910487.25;1780029.66666667;130457.583333333;6.825;32;"Alabama_1990";4043643;514;12.711;25853;0;0;1;1;1990;"Alabama";"Employment";1340644;647337;0.482855254638815;1;0.00639349220492511;639.349220492511;NA;NA;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.54246776031253;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;NA
"2";2;"Alabama";1991;61.7666666666667;57.25;1924366.25;1783544.25;140822;7.325;32;"Alabama_1991";4101607;539;13.141;28611;0;0;1;1;1991;"Alabama";"Employment";1351465;661978;0.48982252592557;1;0.00697555860422512;697.555860422512;2.54246776031253;0.43;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.5757371136615;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.033269353348969
"3";3;"Alabama";1992;62.2666666666667;57.5833333333333;1962245.83333333;1814428.25;147817.583333333;7.525;32;"Alabama_1992";4155699;523;12.585;26865;0;0;1;1;1992;"Alabama";"Employment";1379106;675532;0.489833268798773;1;0.00646461642193046;646.461642193046;2.5757371136615;-0.555999999999999;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.53250562858728;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0432314850742217
"4";4;"Alabama";1993;62.5;57.9916666666667;1996874;1852598.66666667;144275.333333333;7.24166666666667;32;"Alabama_1993";4216208;551;13.069;24260;0;0;1;1;1993;"Alabama";"Employment";1447134;720773;0.498069287294749;1;0.00575398557186932;575.398557186932;2.53250562858728;0.484;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.5702430136149;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.0377373850276199
"5";5;"Alabama";1994;62.9583333333333;59.0916666666667;2032946.16666667;1907460.66666667;125485.5;6.175;32;"Alabama_1994";4262457;532;12.481;23551;0;0;1;1;1994;"Alabama";"Employment";1478704;736977;0.498393863815882;1;0.00552521702858234;552.521702858234;2.5702430136149;-0.588000000000001;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.52420748793632;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0460355256785823
"6";6;"Alabama";1995;63.4916666666667;59.775;2065909.58333333;1945243.58333333;120666;5.83333333333333;32;"Alabama_1995";4298981;563;13.096;26668;0;0;1;1;1995;"Alabama";"Employment";1553301;782875;0.50400727225438;1;0.00620333051018369;620.333051018369;2.52420748793632;0.615;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.57230684006883;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.048099352132517
"7";7;"Alabama";1996;63.6833333333333;60.3583333333333;2091619.33333333;1982776.66666667;108842.666666667;5.20833333333333;32;"Alabama_1996";4334219;513;11.836;31672;0;0;1;1;1996;"Alabama";"Employment";1568825;794202;0.506240020397431;1;0.0073074295507449;730.74295507449;2.57230684006883;-1.26;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.47114573453796;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.101161105530871
"8";8;"Alabama";1997;64.4166666666667;61.2416666666667;2132519.5;2027425.66666667;105093.833333333;4.93333333333333;32;"Alabama_1997";4370490;512;11.715;23551;0;0;1;1;1997;"Alabama";"Employment";1591179;799696;0.502580790721848;1;0.0053886406329725;538.86406329725;2.47114573453796;-0.121;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.46087007195976;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0102756625782043
"9";9;"Alabama";1998;64.1166666666667;61.2666666666667;2142689.25;2047036.33333333;95652.9166666667;4.45833333333333;32;"Alabama_1998";4408398;569;12.907;32468;1;1;1;1;1998;"Alabama";"Employment";1604110;814270;0.507614814445393;1;0.00736503373787938;736.503373787938;2.46087007195976;1.192;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.55776979985305;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;0.0968997278932919
"10";10;"Alabama";1999;63.9583333333333;60.9416666666667;2150126.5;2048691.75;101434.75;4.725;32;"Alabama_1999";4430141;554;12.505;30564;1;1;1;1;1999;"Alabama";"Employment";1633909;832008;0.509213181395047;1;0.00689910321138763;689.910321138763;2.55776979985305;-0.401999999999999;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.52612856432958;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;-0.0316412355234683
"11";11;"Alabama";2000;63.5583333333333;60.6416666666667;2147399.91666667;2047897.16666667;99502.75;4.625;32;"Alabama_2000";4447100;582;13.087;32988;1;1;1;1;2000;"Alabama";"Employment";1653074;847889;0.512916542151168;1;0.00741786782397517;741.786782397517;2.52612856432958;0.581999999999999;"AL";0;2001;0;0;0;2001;0;"Pre-Pairty";2.57161937107334;"Treated-Post-Period";0;0;1;0;0;0;0;0;1;0;0;0.0454908067437612
"12";12;"Alabama";2001;62.7;59.45;2126942.5;2016673.75;110268.75;5.18333333333333;32;"Alabama_2001";4467634;512;11.46;38849;1;1;1;0;2001;"Alabama";"Employment";1620952;826751;0.510040396014194;1;0.00869565412027933;869.565412027933;2.57161937107334;-1.627;"AL";0;2001;0;0;0;2001;0;"Post-Parity";2.43886271128659;"Treated-Post-Period";0;0;1;0;0;1;0;0;0;1;0;-0.13275665978675
"13";13;"Alabama";2002;62.0666666666667;58.4;2113208.66666667;1988237.08333333;124971.583333333;5.925;32;"Alabama_2002";4480089;513;11.451;41859;1;1;1;0;2002;"Alabama";"Employment";1581117;795094;0.502868541670224;1;0.00934334117023122;934.334117023122;2.43886271128659;-0.00900000000000034;"AL";0;2001;0;0;0;2001;0;"Post-Parity";2.4380770624312;"Treated-Post-Period";0;0;1;0;0;1;0;0;0;1;0;-0.00078564885539123
"14";14;"Alabama";2003;62.2;58.4833333333333;2128286.5;2001012.75;127273.75;5.98333333333333;32;"Alabama_2003";4503491;520;11.547;42421;1;1;1;0;2003;"Alabama";"Employment";1597529;795477;0.497942134383789;1;0.00941958138697291;941.958138697291;2.4380770624312;0.0960000000000001;"AL";0;2001;0;0;0;2001;0;"Post-Parity";2.44642566296972;"Treated-Post-Period";0;0;1;0;0;1;0;0;0;1;0;0.00834860053851649
"15";15;"Alabama";2004;62.0833333333333;58.6083333333333;2138181;2018713.91666667;119467.083333333;5.575;32;"Alabama_2004";4530729;541;11.941;41972;1;1;1;0;2004;"Alabama";"Employment";1629141;802914;0.492845002366278;1;0.00926385135813685;926.385135813685;2.44642566296972;0.394;"AL";0;2001;0;0;0;2001;0;"Post-Parity";2.47997785655125;"Treated-Post-Period";0;0;1;0;0;1;0;0;0;1;0;0.0335521935815288
