"";"Deaths";"Crude.Rate"
"Alabama-1990";514;12,711
"Alabama-1991";539;13,141
"Alabama-1992";523;12,585
"Alabama-1993";551;13,069
"Alabama-1994";532;12,481
"Alabama-1995";563;13,096
"Alabama-1996";513;11,836
"Alabama-1997";512;11,715
"Alabama-1998";569;12,907
"Alabama-1999";554;12,505
"Alabama-2000";582;13,087
"Alabama-2001";512;11,46
"Alabama-2002";513;11,451
"Alabama-2003";520;11,547
"Alabama-2004";541;11,941
"Alabama-2005";535;11,707
"Alabama-2006";579;12,508
"Alabama-2007";592;12,669
"Alabama-2008";602;12,759
"Alabama-2009";673;14,145
"Alabama-2010";679;14,206
"Alabama-2011";654;13,625
"Alabama-2012";724;15,033
"Alabama-2013";720;14,908
"Alabama-2014";714;14,742
"Alabama-2015";750;15,452
"Alabama-2016";788;16,203
"Alaska-1990";70;12,728
"Alaska-1991";73;12,797
"Alaska-1992";90;15,27
"Alaska-1993";97;16,17
"Alaska-1994";121;20,036
"Alaska-1995";103;17,023
"Alaska-1996";120;19,697
"Alaska-1997";128;20,863
"Alaska-1998";129;20,79
"Alaska-1999";96;15,365
"Alaska-2000";137;21,852
"Alaska-2001";101;15,938
"Alaska-2002";132;20,55
"Alaska-2003";124;19,124
"Alaska-2004";155;23,51
"Alaska-2005";131;19,642
"Alaska-2006";135;19,991
"Alaska-2007";149;21,902
"Alaska-2008";169;24,583
"Alaska-2009";143;20,461
"Alaska-2010";164;23,091
"Alaska-2011";143;19,787
"Alaska-2012";168;22,979
"Alaska-2013";170;23,07
"Alaska-2014";167;22,669
"Alaska-2015";201;27,247
"Alaska-2016";193;26,014
"Arizona-1990";686;18,692
"Arizona-1991";662;17,47
"Arizona-1992";653;16,669
"Arizona-1993";727;17,876
"Arizona-1994";767;18,057
"Arizona-1995";805;18,156
"Arizona-1996";726;15,818
"Arizona-1997";757;15,97
"Arizona-1998";804;16,454
"Arizona-1999";766;15,247
"Arizona-2000";783;15,261
"Arizona-2001";762;14,45
"Arizona-2002";884;16,382
"Arizona-2003";840;15,244
"Arizona-2004";879;15,551
"Arizona-2005";944;16,167
"Arizona-2006";976;16,188
"Arizona-2007";1015;16,457
"Arizona-2008";972;15,477
"Arizona-2009";1058;16,679
"Arizona-2010";1092;17,084
"Arizona-2011";1160;17,937
"Arizona-2012";1151;17,574
"Arizona-2013";1162;17,541
"Arizona-2014";1241;18,467
"Arizona-2015";1276;18,716
"Arizona-2016";1269;18,309
"Arkansas-1990";293;12,455
"Arkansas-1991";283;11,87
"Arkansas-1992";293;12,125
"Arkansas-1993";317;12,902
"Arkansas-1994";364;14,59
"Arkansas-1995";360;14,197
"Arkansas-1996";323;12,552
"Arkansas-1997";356;13,68
"Arkansas-1998";344;13,092
"Arkansas-1999";336;12,67
"Arkansas-2000";349;13,055
"Arkansas-2001";382;14,192
"Arkansas-2002";376;13,895
"Arkansas-2003";372;13,652
"Arkansas-2004";361;13,129
"Arkansas-2005";400;14,383
"Arkansas-2006";371;13,148
"Arkansas-2007";402;14,112
"Arkansas-2008";446;15,515
"Arkansas-2009";422;14,568
"Arkansas-2010";447;15,33
"Arkansas-2011";461;15,683
"Arkansas-2012";485;16,437
"Arkansas-2013";515;17,407
"Arkansas-2014";514;17,324
"Arkansas-2015";577;19,376
"Arkansas-2016";553;18,506
"California-1990";3708;12,431
"California-1991";3716;12,191
"California-1992";3723;12,012
"California-1993";3875;12,382
"California-1994";3712;11,782
"California-1995";3694;11,646
"California-1996";3408;10,634
"California-1997";3430;10,549
"California-1998";3415;10,342
"California-1999";3069;9,161
"California-2000";2963;8,748
"California-2001";2819;8,176
"California-2002";3218;9,228
"California-2003";3391;9,619
"California-2004";3349;9,414
"California-2005";3195;8,918
"California-2006";3323;9,225
"California-2007";3586;9,892
"California-2008";3765;10,286
"California-2009";3810;10,308
"California-2010";3904;10,479
"California-2011";3990;10,59
"California-2012";3887;10,226
"California-2013";4012;10,466
"California-2014";4205;10,871
"California-2015";4165;10,681
"California-2016";4277;10,897
"Colorado-1990";554;16,811
"Colorado-1991";563;16,618
"Colorado-1992";598;17,101
"Colorado-1993";607;16,792
"Colorado-1994";614;16,481
"Colorado-1995";654;17,086
"Colorado-1996";694;17,698
"Colorado-1997";611;15,203
"Colorado-1998";611;14,837
"Colorado-1999";574;13,583
"Colorado-2000";613;14,252
"Colorado-2001";722;16,314
"Colorado-2002";726;16,168
"Colorado-2003";728;16,075
"Colorado-2004";796;17,399
"Colorado-2005";799;17,25
"Colorado-2006";730;15,465
"Colorado-2007";811;16,882
"Colorado-2008";801;16,381
"Colorado-2009";941;18,925
"Colorado-2010";865;17,2
"Colorado-2011";910;17,779
"Colorado-2012";1049;20,212
"Colorado-2013";1007;19,117
"Colorado-2014";1080;20,188
"Colorado-2015";1093;20,059
"Colorado-2016";1167;21,063
"Connecticut-1990";299;9,094
"Connecticut-1991";330;9,989
"Connecticut-1992";298;9,027
"Connecticut-1993";302;9,124
"Connecticut-1994";324;9,768
"Connecticut-1995";323;9,716
"Connecticut-1996";292;8,748
"Connecticut-1997";259;7,732
"Connecticut-1998";257;7,634
"Connecticut-1999";274;8,091
"Connecticut-2000";304;8,927
"Connecticut-2001";282;8,215
"Connecticut-2002";260;7,517
"Connecticut-2003";272;7,806
"Connecticut-2004";293;8,381
"Connecticut-2005";293;8,355
"Connecticut-2006";291;8,273
"Connecticut-2007";270;7,655
"Connecticut-2008";314;8,856
"Connecticut-2009";316;8,872
"Connecticut-2010";353;9,877
"Connecticut-2011";370;10,307
"Connecticut-2012";367;10,212
"Connecticut-2013";330;9,177
"Connecticut-2014";378;10,524
"Connecticut-2015";384;10,712
"Connecticut-2016";396;11,072
"Delaware-1990";80;11,998
"Delaware-1991";79;11,558
"Delaware-1992";88;12,661
"Delaware-1993";94;13,301
"Delaware-1994";80;11,144
"Delaware-1995";80;10,957
"Delaware-1996";97;13,085
"Delaware-1997";87;11,572
"Delaware-1998";68;8,902
"Delaware-1999";86;11,097
"Delaware-2000";82;10,465
"Delaware-2001";107;13,447
"Delaware-2002";74;9,179
"Delaware-2003";94;11,491
"Delaware-2004";93;11,194
"Delaware-2005";83;9,821
"Delaware-2006";90;10,474
"Delaware-2007";95;10,898
"Delaware-2008";109;12,332
"Delaware-2009";107;11,999
"Delaware-2010";106;11,805
"Delaware-2011";105;11,565
"Delaware-2012";125;13,632
"Delaware-2013";122;13,184
"Delaware-2014";126;13,477
"Delaware-2015";122;12,923
"Delaware-2016";119;12,499
"District of Columbia-1990";37;6,069
"District of Columbia-1991";34;5,632
"District of Columbia-1992";34;5,666
"District of Columbia-1993";43;7,194
"District of Columbia-1994";29;4,905
"District of Columbia-1995";39;6,698
"District of Columbia-1996";35;6,098
"District of Columbia-1997";35;6,15
"District of Columbia-1998";43;7,589
"District of Columbia-1999";30;5,261
"District of Columbia-2000";23;4,021
"District of Columbia-2001";40;6,963
"District of Columbia-2002";31;5,409
"District of Columbia-2003";36;6,332
"District of Columbia-2004";33;5,812
