"State","Year.x","Pre_Post_Parity","Group_Time_Period","AccesstoParity","Group_Time_Period2"
"Alabama",1990,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1991,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1992,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1993,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1994,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1995,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1996,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1997,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPre-Period"
"Alabama",1998,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",1999,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",2000,"Pre-Pairty","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",2001,"Post-Parity","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",2002,"Post-Parity","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",2003,"Post-Parity","NoTreatPre-Period",2001,"TreatPost-Period"
"Alabama",2004,"Post-Parity","NoTreatPre-Period",2001,"TreatPost-Period"
"Alaska",1990,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1991,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1992,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1993,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1994,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1995,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1996,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1997,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Alaska",1998,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",1999,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",2000,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",2001,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",2002,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",2003,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Alaska",2004,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",1990,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1991,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1992,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1993,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1994,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1995,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1996,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1997,"No-Parity","NoTreatPre-Period",0,"TreatPre-Period"
"Arizona",1998,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",1999,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",2000,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",2001,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",2002,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",2003,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arizona",2004,"No-Parity","NoTreatPost-Period",0,"TreatPre-Period"
"Arkansas",1990,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1991,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1992,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1993,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1994,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1995,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1996,"Pre-Pairty","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1997,"Post-Parity","NoTreatPre-Period",1997,"TreatPre-Period"
"Arkansas",1998,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",1999,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",2000,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",2001,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",2002,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",2003,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"Arkansas",2004,"Post-Parity","NoTreatPre-Period",1997,"TreatPost-Period"
"California",1990,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1991,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1992,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1993,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1994,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1995,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1996,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1997,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPre-Period"
"California",1998,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPost-Period"
"California",1999,"Pre-Pairty","NoTreatPre-Period",2000,"TreatPost-Period"
"California",2000,"Post-Parity","NoTreatPre-Period",2000,"TreatPost-Period"
"California",2001,"Post-Parity","NoTreatPre-Period",2000,"TreatPost-Period"
"California",2002,"Post-Parity","NoTreatPre-Period",2000,"TreatPost-Period"
"California",2003,"Post-Parity","NoTreatPre-Period",2000,"TreatPost-Period"
"California",2004,"Post-Parity","NoTreatPre-Period",2000,"TreatPost-Period"
"Colorado",1990,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1991,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1992,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1993,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1994,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1995,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1996,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
"Colorado",1997,"Pre-Pairty","NoTreatPre-Period",1998,"TreatPre-Period"
